
YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2024,0,0,42714,TOYOTAMARIN
2019,5,73185,25991,CARGURUS
2021,3,57635,28997,CARGURUS
2021,3,86968,28652,CARGURUS
2020,4,108954,24500,CARGURUS
2017,7,77533,21981,CARGURUS
2022,2,38707,36798,CARGURUS
2024,0,3862,39581,AUTOTRADER
2022,2,6590,41781,AUTOTRADER
2024,0,5500,40000,CRAIGSLIST
2019,5,81150,22250,CRAIGSLIST
2021,3,20000,34000,CRAIGSLIST
2021,3,31300,33500,CRAIGSLIST
2020,4,63274,24999,CRAIGSLIST
2017,7,84000,18000,CRAIGSLIST
2020,4,86951,26491,TOYOTAMARIN
2020,4,102288,23422,CARGURUS
2018,6,139914,22888,CARGURUS
2019,5,77744,29975,CARGURUS
